V1,V2,V3
1335,505650,159950
1336,506150,159950
1337,522650,159950
1338,525150,159950
1339,528650,159950
1340,533150,159950
1341,534650,159950
1342,535650,159950
1343,536150,159950
1344,536650,159950
1345,537150,159950
1346,537650,159950
1347,538150,159950
1348,538650,159950
1349,539150,159950
1350,539650,159950
1351,540150,159950
1352,540650,159950
1353,545650,159950
1354,546150,159950
1355,548650,159950
1356,549650,159950
1357,550150,159950
1358,550650,159950
1359,552150,159950
1360,553150,159950
1361,553650,159950
1362,554150,159950
1363,555150,159950
1364,505650,159450
1365,506150,159450
1366,517650,159450
1367,522150,159450
1368,522650,159450
1369,528150,159450
1370,528650,159450
1371,530150,159450
1372,530650,159450
1373,534150,159450
1374,535150,159450
1375,535650,159450
1376,536150,159450
1377,536650,159450
1378,537150,159450
1379,538650,159450
1380,539150,159450
1381,546650,159450
1382,548150,159450
1383,549150,159450
1384,550150,159450
1385,551150,159450
1386,551650,159450
1387,553150,159450
1388,553650,159450
1389,554150,159450
1390,555150,159450
1391,555650,159450
1392,556150,159450
1393,556650,159450
1394,504150,158950
1395,504650,158950
1396,505150,158950
1397,517150,158950
1398,517650,158950
1399,522150,158950
1400,522650,158950
1401,523150,158950
1402,524650,158950
1403,527150,158950
1404,528650,158950
1405,530650,158950
1406,531150,158950
1407,532150,158950
1408,533150,158950
1409,533650,158950
1410,535150,158950
1411,535650,158950
1412,536150,158950
1413,536650,158950
1414,537650,158950
1415,538150,158950
1416,538650,158950
1417,539150,158950
1418,545150,158950
1419,545650,158950
1420,546150,158950
1421,546650,158950
1422,549650,158950
1423,550150,158950
1424,551150,158950
1425,551650,158950
1426,552150,158950
1427,553150,158950
1428,553650,158950
1429,554150,158950
1430,555150,158950
1431,555650,158950
1432,504150,158450
1433,517150,158450
1434,520150,158450
1435,523150,158450
1436,524650,158450
1437,525150,158450
1438,526150,158450
1439,526650,158450
1440,527150,158450
1441,530650,158450
1442,531150,158450
1443,532150,158450
1444,532650,158450
1445,533150,158450
1446,533650,158450
1447,534650,158450
1448,536150,158450
1449,538150,158450
1450,538650,158450
1451,539650,158450
1452,540650,158450
1453,541150,158450
1454,546150,158450
1455,547150,158450
1456,547650,158450
1457,548150,158450
1458,548650,158450
1459,549150,158450
1460,549650,158450
1461,550150,158450
1462,551650,158450
1463,552650,158450
1464,554150,158450
1465,555150,158450
1466,556150,158450
1467,556650,158450
1468,557150,158450
1469,557650,158450
1470,558150,158450
1471,524150,157950
1472,524650,157950
1473,525150,157950
1474,526150,157950
1475,528650,157950
1476,529150,157950
1477,529650,157950
1478,530150,157950
1479,532650,157950
1480,533150,157950
1481,535650,157950
1482,536150,157950
1483,538150,157950
1484,539650,157950
1485,544150,157950
1486,547150,157950
1487,547650,157950
1488,548150,157950
1489,549150,157950
1490,549650,157950
1491,551150,157950
1492,551650,157950
1493,552150,157950
1494,552650,157950
1495,553150,157950
1496,553650,157950
1497,554150,157950
1498,555150,157950
1499,556650,157950
1500,557150,157950
1501,557650,157950
1502,558150,157950
1503,517150,157450
1504,528650,157450
1505,529150,157450
1506,529650,157450
1507,531650,157450
1508,532150,157450
1509,532650,157450
1510,533150,157450
1511,535150,157450
1512,535650,157450
1513,536150,157450
1514,537650,157450
1515,538150,157450
1516,539150,157450
1517,539650,157450
1518,543150,157450
1519,543650,157450
1520,547650,157450
1521,549150,157450
1522,549650,157450
1523,551150,157450
1524,552150,157450
1525,552650,157450
1526,553150,157450
1527,553650,157450
1528,554150,157450
1529,555150,157450
1530,555650,157450
1531,556650,157450
1532,557150,157450
1533,558650,157450
1534,559150,157450
1535,515150,156950
1536,515650,156950
1537,520150,156950
1538,522650,156950
1539,523150,156950
1540,523650,156950
1541,524650,156950
1542,526150,156950
1543,529650,156950
1544,530150,156950
1545,532650,156950
1546,533150,156950
1547,533650,156950
1548,534150,156950
1549,535150,156950
1550,535650,156950
1551,536150,156950
1552,536650,156950
1553,537150,156950
1554,537650,156950
1555,538150,156950
1556,538650,156950
1557,539150,156950
1558,539650,156950
1559,540150,156950
1560,540650,156950
1561,541150,156950
1562,542150,156950
1563,543150,156950
1564,544150,156950
1565,544650,156950
1566,546150,156950
1567,546650,156950
1568,547150,156950
1569,549150,156950
1570,549650,156950
1571,550150,156950
1572,550650,156950
1573,551150,156950
1574,553150,156950
1575,558150,156950
1576,559150,156950
1577,515150,156450
1578,518150,156450
1579,518650,156450
1580,522650,156450
1581,523650,156450
1582,525650,156450
1583,526150,156450
1584,528650,156450
1585,529150,156450
1586,531650,156450
1587,532150,156450
1588,532650,156450
1589,533150,156450
1590,533650,156450
1591,534150,156450
1592,535150,156450
1593,535650,156450
1594,537150,156450
1595,537650,156450
1596,538150,156450
1597,538650,156450
1598,540150,156450
1599,540650,156450
1600,541150,156450
1601,541650,156450
1602,542150,156450
1603,543150,156450
1604,544150,156450
1605,544650,156450
1606,545650,156450
1607,546150,156450
1608,547150,156450
1609,549650,156450
1610,550150,156450
1611,553150,156450
1612,553650,156450
1613,556150,156450
1614,556650,156450
1615,558650,156450
1616,518150,155950
1617,519650,155950
1618,522150,155950
1619,522650,155950
1620,523150,155950
1621,526150,155950
1622,527650,155950
1623,529150,155950
1624,529650,155950
1625,531150,155950
1626,531650,155950
1627,532150,155950
1628,532650,155950
1629,533150,155950
1630,533650,155950
1631,534150,155950
1632,534650,155950
1633,535150,155950
1634,535650,155950
1635,537650,155950
1636,538150,155950
1637,538650,155950
1638,539150,155950
1639,539650,155950
1640,540150,155950
1641,540650,155950
1642,541150,155950
1643,541650,155950
1644,542150,155950
1645,542650,155950
1646,543150,155950
1647,544150,155950
1648,544650,155950
1649,545650,155950
1650,546650,155950
1651,547150,155950
1652,547650,155950
1653,549150,155950
1654,550150,155950
1655,551650,155950
1656,552150,155950
1657,553150,155950
1658,553650,155950
1659,555650,155950
